From;Installatie;To;Bedrijf
B.V. Steenfabriek Hedikhuizen;B.V. Steenfabriek;B.V. Steenfabriek;B.V. Steenfabriek
B.V. Steenfabriek Huissenswaard;B.V. Steenfabriek;B.V. Steenfabriek;B.V. Steenfabriek
B.V. Steenfabriek Spijk;B.V. Steenfabriek;B.V. Steenfabriek;B.V. Steenfabriek
Barendse DC II b.v.;Barendse DC II b.v.;Barendse DC II b.v.;Barendse DC II b.v.
Bavaria N.V.;Bavaria N.V.;Bavaria N.V.;Bavaria
Beekenkamp Plants BV;Beekenkamp Plants BV;Beekenkamp Plants BV;Beekenkamp Plants
Bio Energie Centrale Cuijk;Bio Energie Centrale;Bio Energie Centrale;Bio Energie Centrale
BioEnergieCentrale Delfzijl B.V.;Bio Energie Centrale;Bio Energie Centrale;Bio Energie Centrale
BioMethanol Chemie Nederland B.V.;BioMethanol Chemie Nederland B.V.;BioMethanol Chemie Nederland B.V.;BioMethanol
Biopetrol Rotterdam B.V.;Biopetrol Rotterdam B.V.;Biopetrol Rotterdam B.V.;Biopetrol
BP Raffinaderij Rotterdam B.V.;BP Raffinaderij Rotterdam B.V.;BP Raffinaderij Rotterdam B.V.;BP
Brabantse Asfalt Centrale B.V. (BAC);Brabantse Asfalt Centrale B.V. (BAC);Brabantse Asfalt Centrale B.V. (BAC);Asfalt Centrales
Bunge Loders Croklaan B.V.;Bunge;Bunge;Bunge
Bunge Netherlands B.V. Amsterdam;Bunge;Bunge;Bunge
Cabot B.V.;Cabot;Cabot;Cabot
"Cabot Norit Activated Carbon, Klazienaveen plant";Cabot Klazienaveen;Cabot;Cabot
Caldic Chemie B.V.;Caldic Chemie B.V.;Caldic Chemie B.V.;Caldic Chemie
Cargill B.V. Multiseed Amsterdam;Cargill;Cargill;Cargill
Cargill B.V. Rotterdam Botlek;Cargill;Cargill;Cargill
Cargill B.V. Sas van Gent;Cargill;Cargill;Cargill
Cargill Bergen op Zoom BKG 1;Cargill;Cargill;Cargill
Cargill Bergen op Zoom BKG 2;Cargill;Cargill;Cargill
Century Aluminum Vlissingen BV;Century Aluminum Vlissingen BV;Century Aluminum Vlissingen BV;Century Aluminum
Chemelot BKG 01;Chemelot;Chemelot;SABIC
Chemelot BKG 02;Chemelot;Chemelot;SABIC
Chemelot BKG 03;Chemelot;Chemelot;SABIC
Chemelot BKG 04;Chemelot;Chemelot;SABIC
Chemelot BKG 05;Chemelot;Chemelot;SABIC
Chemelot BKG 06;Chemelot;Chemelot;SABIC
Chemelot BKG 07;Chemelot;Chemelot;SABIC
Chemelot BKG 08;Chemelot;Chemelot;SABIC
Chemelot BKG 09;Chemelot;Chemelot;SABIC
Chemelot BKG 10;Chemelot;Chemelot;SABIC
Chemelot BKG 11;Chemelot;Chemelot;SABIC
Chemelot BKG 12;Chemelot;Chemelot;SABIC
Chemelot BKG 13;Chemelot;Chemelot;SABIC
Chemelot BKG 14;Chemelot;Chemelot;SABIC
Chemours Netherlands B.V.;Chemours Netherlands B.V.;Chemours Netherlands B.V.;Chemours
Climax Molybdenum B.V.;Climax Molybdenum B.V.;Climax Molybdenum B.V.;Climax Molybdenum
Co?. Grasdrogerij Ruinerwold en omstreken BA;Co?. Grasdrogerij Ruinerwold en omstreken BA;Co?. Grasdrogerij Ruinerwold en omstreken BA;Co?. Grasdrogerij Ruinerwold en omstreken BA
Croda Nederland B.V.;Croda Nederland B.V.;Croda Nederland B.V.;Croda Nederland
Crown Van Gelder N.V.;Crown Van Gelder N.V.;Crown Van Gelder N.V.;Crown Van Gelder
DAF Trucks N.V.;DAF Trucks N.V.;DAF Trucks N.V.;DAF Trucks
DAMCO Aluminium Delfzijl Co?eratie U.A.;DAMCO Aluminium Delfzijl Co?eratie U.A.;DAMCO Aluminium Delfzijl Co?eratie U.A.;DAMCO
Dana Petroleum Netherlands B.V. facility F2-A-Hanze;Dana Petroleum Netherlands B.V.;Dana Petroleum Netherlands B.V.;Dana Petroleum Netherlands
Dana Petroleum Netherlands B.V. facility P11-B-De Ruyter;Dana Petroleum Netherlands B.V.;Dana Petroleum Netherlands B.V.;Dana Petroleum Netherlands
Danone Nutricia Early Life Nutrition;Danone Nutricia Early Life Nutrition;Danone Nutricia Early Life Nutrition;Danone Nutricia Early Life Nutrition
Dekker Chrysanten BV;Dekker Chrysanten BV;Dekker Chrysanten BV;Dekker Chrysanten
Delesto B.V.;Delesto B.V.;Delesto B.V.;Nobian
Digital Realty Wenckebachweg 127;Digital Realty Wenckebachweg 127;Digital Realty Wenckebachweg 127;Digital Realty Wenckebachweg 127
"DOC Kaas ba, vestiging Alteveerstraat";DOC Kaas;DOC Kaas;DOC Kaas
"DOC Kaas BV, vestiging Zuivelpark";DOC Kaas;DOC Kaas;DOC Kaas
Dow Benelux B.V. BKG 1;Dow Benelux B.V.;Dow Benelux B.V.;Dow
Dow Benelux B.V. BKG 10;Dow Benelux B.V.;Dow Benelux B.V.;Dow
Dow Benelux B.V. BKG 2;Dow Benelux B.V.;Dow Benelux B.V.;Dow
Dow Benelux B.V. BKG 3;Dow Benelux B.V.;Dow Benelux B.V.;Dow
Dow Benelux B.V. BKG 4;Dow Benelux B.V.;Dow Benelux B.V.;Dow
Dow Benelux B.V. BKG 5;Dow Benelux B.V.;Dow Benelux B.V.;Dow
Dow Benelux B.V. BKG 6;Dow Benelux B.V.;Dow Benelux B.V.;Dow
Dow Benelux B.V. BKG 7;Dow Benelux B.V.;Dow Benelux B.V.;Dow
Dow Benelux B.V. BKG 8;Dow Benelux B.V.;Dow Benelux B.V.;Dow
Dow Benelux B.V. BKG 9;Dow Benelux B.V.;Dow Benelux B.V.;Dow
DS Smith Paper De Hoop Mill;DS Smith Paper De Hoop Mill;DS Smith Paper De Hoop Mill;DS Smith Paper De Hoop Mill
DS Utility Plant;DS Utility Plant;DS Utility Plant;DS Utility Plant
DSM Delft Permit B.V.;DSM Delft Permit B.V.;DSM Delft Permit B.V.;DSM
Eastman Chemical Middelburg BV;Eastman Chemical Middelburg BV;Eastman Chemical Middelburg BV;Eastman Chemical Middelburg
Echter Asfaltcentrale B.V.;Echter Asfaltcentrale B.V.;Echter Asfaltcentrale B.V.;Echter Asfaltcentrale
EdgeConnex Netherlands B.V.;EdgeConnex Netherlands B.V.;EdgeConnex Netherlands B.V.;EdgeConnex Netherlands
E-max Remelt;E-max Remelt;E-max Remelt;E-max Remelt
Emerald Kalama Chemical B.V.;Emerald Kalama Chemical B.V.;Emerald Kalama Chemical B.V.;Emerald Kalama Chemical
Emmtec Services B.V.;Emmtec Services B.V.;Emmtec Services B.V.;Emmtec Services
"ENCI B.V., vestiging IJmuiden";ENCI B.V.;ENCI B.V.;ENCI
"ENCI B.V., vestiging Maastricht";ENCI B.V.;ENCI B.V.;ENCI
Enecal Energy V.O.F.;Enecal Energy V.O.F.;Enecal Energy V.O.F.;Enecal Energy V.O.F.
Eneco Centrale Lage Weide;Eneco Centrale Lage Weide;Eneco;Eneco
Eneco Centrale Merwedekanaal;Eneco Centrale Merwedekanaal;Eneco;Eneco
Eneco Hulpketelstation Galileistraat;Eneco Hulpketelstation Galileistraat;Eneco;Eneco
Eneco Hulpwarmtecentrale Kanaleneiland;Eneco Hulpwarmtecentrale Kanaleneiland;Eneco;Eneco
Eneco Hulpwarmtecentrale Nicolaas Beetsstraat;Eneco Hulpwarmtecentrale Nicolaas Beetsstraat;Eneco;Eneco
Eneco Hulpwarmtecentrale Nieuwegein;Eneco Hulpwarmtecentrale Nieuwegein;Eneco;Eneco
Eneco Hulpwarmtecentrale Overvecht;Eneco Hulpwarmtecentrale Overvecht;Eneco;Eneco
"Eneco Solar, Bio & Hydro BV, HWC Ypenburg";"Eneco Solar, Bio & Hydro BV, HWC Ypenburg";Eneco;Eneco
"Eneco Solar, Bio & Hydro BV, WKC Oosterheem";"Eneco Solar, Bio & Hydro BV, WKC Oosterheem";Eneco;Eneco
"Eneco Solar, Bio & Hydro BV, WKC Vaanpark";"Eneco Solar, Bio & Hydro BV, WKC Vaanpark";Eneco;Eneco
"Eneco Solar, Bio & Hydro BV, WKC Vathorst";"Eneco Solar, Bio & Hydro BV, WKC Vathorst";Eneco;Eneco
"Eneco Solar, Bio & Hydro BV, WKC Vijfwal";"Eneco Solar, Bio & Hydro BV, WKC Vijfwal";Eneco;Eneco
"Eneco Solar, Bio & Hydro BV, WKC Wateringseveld";"Eneco Solar, Bio & Hydro BV, WKC Wateringseveld";Eneco;Eneco
"Eneco Solar, Bio & Hydro BV, WKC Ypenburg";"Eneco Solar, Bio & Hydro BV, WKC Ypenburg";Eneco;Eneco
Enecogen;Enecogen;Eneco;Eneco
Energie Productie Clauscentrale;Energie Productie Clauscentrale;Energie Productie Clauscentrale;RWE
Energieco?eratie Greenhouse Energy U.A.;Energieco?eratie Greenhouse Energy U.A.;Energieco?eratie Greenhouse Energy U.A.;Energieco?eratie Greenhouse Energy
ENGIE Centrale Bergum;ENGIE Centrale Bergum;ENGIE;ENGIE
ENGIE Centrale Harculo;ENGIE Centrale Harculo;ENGIE;ENGIE
"ENGIE E&P Nederland B.V., D15-A platform";ENGIE E&P Nederland B.V.;ENGIE;ENGIE
"ENGIE E&P Nederland B.V., F3-FB-1 platform";ENGIE E&P Nederland B.V.;ENGIE;ENGIE
"ENGIE E&P Nederland B.V., G17-d-A/AP platform";ENGIE E&P Nederland B.V.;ENGIE;ENGIE
"ENGIE E&P Nederland B.V., K12-B platform";ENGIE E&P Nederland B.V.;ENGIE;ENGIE
"ENGIE E&P Nederland B.V., L10-A platform";ENGIE E&P Nederland B.V.;ENGIE;ENGIE
ENGIE Eemscentrale;ENGIE Eemscentrale;ENGIE;ENGIE
ENGIE Energie Nederland N.V. Centrale Gelderland;ENGIE Energie Nederland N.V. Centrale Gelderland;ENGIE;ENGIE
ENGIE Maximacentrale;ENGIE Maximacentrale;ENGIE;ENGIE
EPZ Conventional Operations;EPZ Conventional Operations;EPZ Conventional Operations;EPZ
Equinix AM1 & AM2;Equinix;Equinix;Equinix
Equinix AM3;Equinix;Equinix;Equinix
Equinix AM4;Equinix;Equinix;Equinix
Equinix AM5;Equinix;Equinix;Equinix
Equinix AM6;Equinix;Equinix;Equinix
Equinix AM7;Equinix;Equinix;Equinix
Erasmus MC;Erasmus MC;Erasmus MC;Erasmus MC
ESD-SIC bv;ESD-SIC bv;ESD-SIC bv;ESD-SIC
Eska Graphic Board Hoogezand;Eska Graphic Board;Eska Graphic Board;Eska Graphic Board
Eska Graphic Board Sappemeer;Eska Graphic Board;Eska Graphic Board;Eska Graphic Board
ESSO Raffinaderij Rotterdam;ESSO Raffinaderij Rotterdam;ESSO Raffinaderij Rotterdam;ExxonMobil
Euro Tank Terminal BV;Euro Tank Terminal BV;Euro Tank Terminal BV;Euro Tank Terminal
Eurogen C.V.;Eurogen C.V.;Eurogen C.V.;Eurogen C.V.
ExxonMobil Chemical Holland B.V. (RAP);ExxonMobil Chemical Holland B.V.;ExxonMobil Chemical Holland B.V.;ExxonMobil
ExxonMobil Chemical Holland B.V. (ROP);ExxonMobil Chemical Holland B.V.;ExxonMobil Chemical Holland B.V.;ExxonMobil
ExxonMobil Chemical Holland B.V. (RPP);ExxonMobil Chemical Holland B.V.;ExxonMobil Chemical Holland B.V.;ExxonMobil
"Fa. P.C.M. van Vliet en Zn., Locatie Westland";Fa. P.C.M. van Vliet en Zn.;Fa. P.C.M. van Vliet en Zn.;Fa. P.C.M. van Vliet en Zn.
"Fa. P.C.M. van Vliet en Zn., Locatie Zeevliet";Fa. P.C.M. van Vliet en Zn.;Fa. P.C.M. van Vliet en Zn.;Fa. P.C.M. van Vliet en Zn.
Farm Frites B.V.;Farm Frites B.V.;Farm Frites B.V.;Farm Frites
FloraHolland Aalsmeer;FloraHolland;FloraHolland;FloraHolland
FloraHolland Vestiging Naaldwijk;FloraHolland;FloraHolland;FloraHolland
FNsteel B.V.;FNsteel B.V.;FNsteel B.V.;FNsteel
Forbo Flooring B.V.;Forbo Flooring B.V.;Forbo Flooring B.V.;Forbo Flooring
FrieslandCampina Bedum;FrieslandCampina;FrieslandCampina;FrieslandCampina
FrieslandCampina Beilen;FrieslandCampina;FrieslandCampina;FrieslandCampina
"FrieslandCampina DMV B.V., locatie Veghel";FrieslandCampina;FrieslandCampina;FrieslandCampina
FrieslandCampina Domo locatie Borculo;FrieslandCampina;FrieslandCampina;FrieslandCampina
FrieslandCampina Leeuwarden;FrieslandCampina;FrieslandCampina;FrieslandCampina
FrieslandCampina Lochem;FrieslandCampina;FrieslandCampina;FrieslandCampina
FrieslandCampina Workum;FrieslandCampina;FrieslandCampina;FrieslandCampina
Frisia Zout B.V.;Frisia Zout B.V.;Frisia Zout B.V.;Frisia Zout
FUJIFILM Manufacturing Europe B.V.;FUJIFILM Manufacturing Europe B.V.;FUJIFILM Manufacturing Europe B.V.;FUJIFILM Manufacturing Europe
Gate terminal B.V. (Maasvlakte);Gate terminal B.V. (Maasvlakte);Gate terminal B.V. (Maasvlakte);Gate terminal B.V.
Gebr. Gresnigt Holding B.V. (Seasun West);Gebr. Gresnigt Holding B.V. (Seasun West);Gebr. Gresnigt Holding B.V. (Seasun West);Gebr. Gresnigt Holding B.V. (Seasun West)
Gebr. L. en J. Voskamp B.V.;Gebr. L. en J. Voskamp B.V.;Gebr. L. en J. Voskamp B.V.;Gebr. L. en J. Voskamp
Gebr. van der Lee;Gebr. van der Lee;Gebr. van der Lee;Gebr. van der Lee
Gipmans Groep;Gipmans Groep;Gipmans Groep;Gipmans Groep
Global Switch Amsterdam B.V.;Global Switch Amsterdam B.V.;Global Switch Amsterdam B.V.;Global Switch Amsterdam
Gouda Refractories BV;Gouda Refractories BV;Gouda Refractories BV;Gouda Refractories
Grasdrogerij Hartog B.V.;Grasdrogerij Hartog B.V.;Grasdrogerij Hartog B.V.;Grasdrogerij Hartog
Green Box Computing BV;Green Box Computing BV;Green Box Computing BV;Green Box Computing
Grolsche Bierbrouwerij Nederland BV;Grolsche Bierbrouwerij Nederland BV;Grolsche Bierbrouwerij Nederland BV;Grolsche Bierbrouwerij Nederland
Gunvor Petroleum Rotterdam B.V.;Gunvor Petroleum Rotterdam B.V.;Gunvor Petroleum Rotterdam B.V.;Gunvor Group
Haagse Asfaltcentrale (HAC);Haagse Asfaltcentrale (HAC);Haagse Asfaltcentrale (HAC);Haagse Asfaltcentrale (HAC)
Harting Holland B.V.;Harting Holland B.V.;Harting Holland B.V.;Harting Holland
HB Energy BV;HB Energy BV;HB Energy BV;HB Energy
"Heineken Nederland B.V., brouwerij Zoeterwoude";Heineken Nederland B.V.;Heineken Nederland B.V.;Heineken Nederland
"Heineken Nederland B.V., locatie Den Bosch";Heineken Nederland B.V.;Heineken Nederland B.V.;Heineken Nederland
Hexion B.V. BKG 1;Hexion B.V. BKG;Hexion B.V. BKG;Hexion
Hexion B.V.BKG 2;Hexion B.V. BKG;Hexion B.V. BKG;Hexion
Holland Malt B.V. locatie Eemshaven;Holland Malt B.V. locatie Eemshaven;Holland Malt B.V. locatie Eemshaven;Holland Malt
Hollandplant B.V.;Hollandplant B.V.;Hollandplant B.V.;Hollandplant
Hoogweg Luttelgeest BV NLW1;Hoogweg Luttelgeest BV;Hoogweg Luttelgeest BV;Hoogweg Luttelgeest
Hoogweg Luttelgeest BV NLW9;Hoogweg Luttelgeest BV;Hoogweg Luttelgeest BV;Hoogweg Luttelgeest
Hoorn - Chevron Expl. and Prod. Netherlands B.V.;Hoorn - Chevron Expl. and Prod. Netherlands B.V.;Hoorn - Chevron Expl. and Prod. Netherlands B.V.;Hoorn - Chevron Expl. and Prod. Netherlands
Huhtamaki Nederland BV;Huhtamaki Nederland BV;Huhtamaki Nederland BV;Huhtamaki Nederland
HulpWarmteCentrale 1;HulpWarmteCentrale;HulpWarmteCentrale;HulpWarmteCentrale
HulpWarmteCentrale 2;HulpWarmteCentrale;HulpWarmteCentrale;HulpWarmteCentrale
HWC Amsterdam Driehoek;HWC Amsterdam Driehoek;HWC Amsterdam Driehoek;HWC Amsterdam Driehoek
HWC Hogering;HWC Hogering;HWC Hogering;HWC Hogering
IAMS Europe B.V.;IAMS Europe B.V.;IAMS Europe B.V.;IAMS Europe
Indorama Ventures Europe B.V.;Indorama Ventures Europe B.V.;Indorama Ventures Europe B.V.;Indorama Ventures Europe
InnovioPapers B.V.;InnovioPapers B.V.;InnovioPapers B.V.;InnovioPapers
IOI - Loders Croklaan Oils B.V.;IOI - Loders Croklaan Oils B.V.;IOI - Loders Croklaan Oils B.V.;IOI - Loders Croklaan Oils
J.G. Timmerman Groenvoederdrogerij B.V.;J.G. Timmerman Groenvoederdrogerij B.V.;J.G. Timmerman Groenvoederdrogerij B.V.;J.G. Timmerman Groenvoederdrogerij
J.S.E. B.V.;J.S.E. B.V.;J.S.E. B.V.;J.S.E.
Jacobs Douwe Egberts NL B.V.;Jacobs Douwe Egberts NL B.V.;Jacobs Douwe Egberts NL B.V.;Jacobs Douwe Egberts NL
Johnson Matthey B.V.;Johnson Matthey B.V.;Johnson Matthey B.V.;Johnson Matthey
Kaas- en weipoederfabriek A-ware en Fonterra H.;Kaas- en weipoederfabriek A-ware en Fonterra H.;Kaas- en weipoederfabriek A-ware en Fonterra H.;Kaas- en weipoederfabriek A-ware en Fonterra H.
KBB Holland;KBB Holland;KBB Holland;KBB Holland
